2026-06-30 19:13:47,386 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.crop_analytics'. Available: ['bronze.rainfall']
2026-06-30 19:13:56,180 | bronze.insert_query | INFO | [production_coded] Logged pipeline run d6806f1b-79ff-40cb-b70f-19f7e3cc151a (failed)
2026-06-30 19:13:57,388 | bronze.insert_query | INFO | [production_coded] Logged pipeline run f5330a10-020b-4a3e-947d-d9454ffbe0c0 (failed)
2026-06-30 19:13:58,447 | bronze.insert_query | INFO | [crop_analytics] Logged pipeline run 0a1886ac-17ba-46b6-91bc-6d49a922427e (failed)
2026-06-30 19:14:02,560 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.crop_analytics'. Available: ['bronze.rainfall']
2026-06-30 19:14:03,317 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.crop_analytics'. Available: ['bronze.rainfall']
2026-06-30 19:14:13,927 | bronze.insert_query | INFO | [crop_analytics] Logged pipeline run d6806f1b-79ff-40cb-b70f-19f7e3cc151a (failed)
2026-06-30 19:14:14,404 | bronze.insert_query | INFO | [crop_analytics] Logged pipeline run f5330a10-020b-4a3e-947d-d9454ffbe0c0 (failed)
2026-06-30 19:17:13,182 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.production'. Available: ['bronze.rainfall']
2026-06-30 19:17:18,136 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.production'. Available: ['bronze.rainfall']
2026-06-30 19:17:24,304 | bronze.insert_query | INFO | [production] Logged pipeline run 02b9160b-142a-44dd-a2e1-6232bbc09589 (failed)
2026-06-30 19:17:29,667 | bronze.insert_query | INFO | [production] Logged pipeline run c24f5ebd-3d88-4f0a-a637-52ed40d970ac (failed)
2026-06-30 19:17:35,549 | bronze.insert_query | ERROR | [insert_dataframe] Failed to insert into bronze.rainfall: 'Area'
2026-06-30 19:17:38,908 | bronze.insert_query | ERROR | [insert_dataframe] Failed to insert into bronze.rainfall: 'Area'
2026-06-30 19:17:46,951 | bronze.insert_query | INFO | [rainfall] Logged pipeline run 02b9160b-142a-44dd-a2e1-6232bbc09589 (failed)
2026-06-30 19:17:50,071 | bronze.insert_query | INFO | [rainfall] Logged pipeline run c24f5ebd-3d88-4f0a-a637-52ed40d970ac (failed)
2026-06-30 19:17:52,876 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.temperature'. Available: ['bronze.rainfall']
2026-06-30 19:17:55,790 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.temperature'. Available: ['bronze.rainfall']
2026-06-30 19:18:04,204 | bronze.insert_query | INFO | [temperature] Logged pipeline run 02b9160b-142a-44dd-a2e1-6232bbc09589 (failed)
2026-06-30 19:18:07,230 | bronze.insert_query | INFO | [temperature] Logged pipeline run c24f5ebd-3d88-4f0a-a637-52ed40d970ac (failed)
2026-06-30 19:18:09,977 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.production_coded'. Available: ['bronze.rainfall']
2026-06-30 19:18:12,819 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.production_coded'. Available: ['bronze.rainfall']
2026-06-30 19:18:21,249 | bronze.insert_query | INFO | [production_coded] Logged pipeline run 02b9160b-142a-44dd-a2e1-6232bbc09589 (failed)
2026-06-30 19:18:24,063 | bronze.insert_query | INFO | [production_coded] Logged pipeline run c24f5ebd-3d88-4f0a-a637-52ed40d970ac (failed)
2026-06-30 19:18:27,034 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.crop_analytics'. Available: ['bronze.rainfall']
